,coef,nulls,distinct_count,mean,mean_rej,mean_app,std_dev,top10Values,dtype,i
primary_focus_subject_Literature & Writing,0.0,0,2,0.12405854388120292,0.12023930345601197,0.12787778430639388,0.3296527323587639,"0    32797
1     4645
dtype: int64",float64,104
secondary_focus_subject_Other,0.0,0,2,0.017146519950857326,0.01944340580097217,0.014849634100742483,0.12981897747652765,"0    36800
1      642
dtype: int64",float64,142
secondary_focus_subject_Literature & Writing,0.0,0,2,0.09572138240478607,0.08802948560440148,0.10341327920517067,0.29421269725709925,"0    33858
1     3584
dtype: int64",float64,138
school_state_OR,0.0,0,2,0.010469526200523476,0.008599967950429999,0.012339084450616954,0.10178502798254208,"0    37050
1      392
dtype: int64",float64,67
primary_focus_subject_College & Career Prep,0.0,0,2,0.011885048875594252,0.01410181080070509,0.009668286950483414,0.1083702364589368,"0    36997
1      445
dtype: int64",float64,91
secondary_focus_subject_Social Sciences,0.0,0,2,0.020458308851022917,0.019870733400993535,0.021045884301052295,0.1415637725050287,"0    36676
1      766
dtype: int64",float64,145
school_state_IN,0.0,0,2,0.02350301800117515,0.02328935420116447,0.023716681801185833,0.1514966637491811,"0    36562
1      880
dtype: int64",float64,45
secondary_focus_subject_College & Career Prep,0.0,0,2,0.015917953100795898,0.01597136905079857,0.015864537150793227,0.12515985878085975,"0    36846
1      596
dtype: int64",float64,125
secondary_focus_subject_Visual Arts,0.0,0,2,0.022034079376101703,0.023823513701191176,0.02024464505101223,0.14679630191671225,"0    36617
1      825
dtype: int64",float64,148
school_state_IA,0.0,0,2,0.004914267400245713,0.005715506650285775,0.004113028150205651,0.06993030805584602,"0    37258
1      184
dtype: int64",float64,42
primary_focus_subject_Music,0.0,0,2,0.025880027776294,0.01955023770097751,0.03220981785161049,0.15877948630523453,"0    36473
1      969
dtype: int64",float64,106
secondary_focus_area_Math & Science,0.0,0,2,0.17416270498370814,0.17349500560867476,0.17483040435874153,0.37925439837744335,"0    30921
1     6521
dtype: int64",float64,153
school_state_TX,0.0,0,2,0.07200470060360023,0.08215373110410769,0.061855670103092786,0.2584991457815163,"0    34746
1     2696
dtype: int64",float64,73
primary_focus_subject_Nutrition,0.0,0,2,0.001468938625073447,0.0016558944500827948,0.001281982800064099,0.038299086414451775,"0    37387
1       55
dtype: int64",float64,107
primary_focus_subject_Economics,0.0,0,2,0.002750921425137546,0.0028310453501415524,0.00267079750013354,0.052377735039169204,"0    37339
1      103
dtype: int64",float64,95
school_metro_suburban,0.0,0,2,0.24005127931200257,0.23454943646172746,0.24555312216227765,0.4271200475153905,"0    28454
1     8988
dtype: int64",float64,82
school_state_WI,0.0,0,2,0.010843437850542172,0.009187543400459377,0.012499332300624966,0.10356709989042956,"0    37036
1      406
dtype: int64",float64,78
